#TIPO_PRODUTO;TIPO_LISTA_FILA;FILA;SUBFILA;COD_ASSUNTO;ASSUNTO;SITUACAO
Medicamento;FILA;REGISTRO;Dinamizados - Priorizados (RDC 204/2017);10555;DINAMIZADO - Registro de Medicamento Dinamizado (Parceria de Desenvolvimento Produtivo);Petição priorizada e aguardando análise técnica
Medicamento;FILA;REGISTRO;Dinamizados - Priorizados (RDC 204/2017);1619;DINAMIZADO - Registro de Medicamento;Petição priorizada e aguardando análise técnica
Medicamento;FILA;REGISTRO;Fitoterápicos - Priorizados (RDC 204/2017);10570;MEDICAMENTO FITOTERÁPICO - Registro de Medicamento Fitoterápico (Parceria de Desenvolvimento Produtivo);Petição priorizada e aguardando análise técnica
Medicamento;FILA;REGISTRO;Fitoterápicos - Priorizados (RDC 204/2017);10688;PRODUTO TRADICIONAL FITOTERÁPICO - Registro de Medicamento;Petição priorizada e aguardando análise técnica
Medicamento;FILA;REGISTRO;Fitoterápicos - Priorizados (RDC 204/2017);10698;PRODUTO TRADICIONAL FITOTERÁPICO - Registro de Produto Tradicional Fitoterápico  (Parceria de Desenvolvimento Produtivo);Petição priorizada e aguardando análise técnica
Medicamento;FILA;REGISTRO;Fitoterápicos - Priorizados (RDC 204/2017);1697;MEDICAMENTO FITOTERÁPICO - Registro de Medicamento;Petição priorizada e aguardando análise técnica
Medicamento;FILA;REGISTRO;Específicos - Priorizados (RDC 204/2017);10556;ESPECÍFICO - Registro de Medicamento Específico (Parceria de Desenvolvimento Produtivo);Petição priorizada e aguardando análise técnica
Medicamento;FILA;REGISTRO;Específicos - Priorizados (RDC 204/2017);10565;ESPECÍFICO - Registro de Medicamento Solução Parenteral (Parceria de Desenvolvimento Produtivo);Petição priorizada e aguardando análise técnica
Medicamento;FILA;REGISTRO;Específicos - Priorizados (RDC 204/2017);1577;ESPECÍFICO - Registro de Medicamento;Petição priorizada e aguardando análise técnica
Medicamento;FILA;REGISTRO;Específicos - Priorizados (RDC 204/2017);1583;ESPECÍFICO - Registro de Medicamento - Solução Parenteral.;Petição priorizada e aguardando análise técnica
Medicamento;FILA;REGISTRO;Genéricos e Similares - Priorizados (RDC 204/2017);10412;GENÉRICO - Registro de Medicamento, em conformidade com art. 2º da IN 06/2008;Petição priorizada e aguardando análise técnica
Medicamento;FILA;REGISTRO;Genéricos e Similares - Priorizados (RDC 204/2017);10413;SIMILAR - Registro de Medicamento Similar, em conformidade com art. 2º da IN 06/2008;Petição priorizada e aguardando análise técnica
Medicamento;FILA;REGISTRO;Genéricos e Similares - Priorizados (RDC 204/2017);10557;SIMILARES - Registro de Medicamento Similar (Parceria de Desenvolvimento Produtivo);Petição priorizada e aguardando análise técnica
